@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric

@data
773,'2019/10/24 11:54:56:531',3,528,156,1,0
774,'2019/10/24 11:54:56:565',3,520,153,1,0
775,'2019/10/24 11:54:56:599',3,511,152,1,0
776,'2019/10/24 11:54:56:633',3,510,152,1,0
777,'2019/10/24 11:54:56:667',3,508,152,1,0
778,'2019/10/24 11:54:56:701',3,508,152,1,0
779,'2019/10/24 11:54:56:735',3,508,152,1,0
780,'2019/10/24 11:54:56:769',3,508,152,1,0
781,'2019/10/24 11:54:56:803',3,508,152,1,0
782,'2019/10/24 11:54:56:837',3,508,152,1,0
783,'2019/10/24 11:54:56:871',3,508,152,1,0
784,'2019/10/24 11:54:56:909',3,508,152,1,0
785,'2019/10/24 11:54:56:945',3,507,152,1,0
786,'2019/10/24 11:54:56:979',3,496,146,1,0
787,'2019/10/24 11:54:57:013',3,486,146,1,0
788,'2019/10/24 11:54:57:048',3,486,146,1,0
789,'2019/10/24 11:54:57:081',3,483,146,1,0
790,'2019/10/24 11:54:57:115',3,481,146,1,0
791,'2019/10/24 11:54:57:149',3,481,146,1,0
792,'2019/10/24 11:54:57:183',3,481,146,1,0
793,'2019/10/24 11:54:57:217',3,481,146,1,0
794,'2019/10/24 11:54:57:251',3,481,146,1,0
795,'2019/10/24 11:54:57:284',3,481,146,1,0
796,'2019/10/24 11:54:57:317',3,481,146,1,0
797,'2019/10/24 11:54:57:351',3,481,146,1,0
798,'2019/10/24 11:54:57:384',3,481,146,1,0
799,'2019/10/24 11:54:57:418',3,481,146,1,0
800,'2019/10/24 11:54:57:452',3,481,146,1,0
801,'2019/10/24 11:54:57:485',3,481,146,1,0
802,'2019/10/24 11:54:57:519',3,481,146,1,0
803,'2019/10/24 11:54:57:553',3,481,146,1,0
804,'2019/10/24 11:54:57:587',3,481,146,1,0
805,'2019/10/24 11:54:57:621',3,481,146,1,0
806,'2019/10/24 11:54:57:662',3,481,146,1,0
807,'2019/10/24 11:54:57:694',3,481,146,1,0
808,'2019/10/24 11:54:57:729',3,474,153,1,0
809,'2019/10/24 11:54:57:762',3,468,166,1,0
810,'2019/10/24 11:54:57:795',3,468,186,1,0
811,'2019/10/24 11:54:57:829',3,468,196,1,0
812,'2019/10/24 11:54:57:863',3,468,198,1,0
813,'2019/10/24 11:54:57:896',3,478,205,1,0
814,'2019/10/24 11:54:57:931',3,499,213,1,0
815,'2019/10/24 11:54:57:964',3,511,214,1,0
816,'2019/10/24 11:54:57:998',3,530,220,1,0
817,'2019/10/24 11:54:58:032',3,550,225,1,0
818,'2019/10/24 11:54:58:066',3,563,225,1,0
819,'2019/10/24 11:54:58:100',3,568,225,1,0
820,'2019/10/24 11:54:58:134',3,581,219,1,0
821,'2019/10/24 11:54:58:168',3,587,209,1,0
822,'2019/10/24 11:54:58:201',3,592,195,1,0
823,'2019/10/24 11:54:58:233',3,593,177,1,0
824,'2019/10/24 11:54:58:268',3,595,168,1,0
825,'2019/10/24 11:54:58:302',3,596,149,1,0
826,'2019/10/24 11:54:58:336',3,596,140,1,0
827,'2019/10/24 11:54:58:370',3,594,129,1,0
828,'2019/10/24 11:54:58:404',3,586,119,1,0
829,'2019/10/24 11:54:58:437',3,582,119,1,0
830,'2019/10/24 11:54:58:471',3,570,117,1,0
831,'2019/10/24 11:54:58:505',3,549,118,1,0
832,'2019/10/24 11:54:58:540',3,526,121,1,0
833,'2019/10/24 11:54:58:577',3,510,121,1,0
834,'2019/10/24 11:54:58:612',3,499,121,1,0
835,'2019/10/24 11:54:58:644',3,492,121,1,0
836,'2019/10/24 11:54:58:679',3,478,124,1,0
837,'2019/10/24 11:54:58:712',3,462,132,1,0
838,'2019/10/24 11:54:58:746',3,456,135,1,0
839,'2019/10/24 11:54:58:780',3,445,142,1,0
840,'2019/10/24 11:54:58:814',3,438,151,1,0
841,'2019/10/24 11:54:58:848',3,430,160,1,0
842,'2019/10/24 11:54:58:882',3,430,165,1,0
843,'2019/10/24 11:54:58:916',3,431,178,1,0
844,'2019/10/24 11:54:58:950',3,436,189,1,0
845,'2019/10/24 11:54:58:984',3,436,196,1,0
846,'2019/10/24 11:54:59:017',3,437,199,1,0
847,'2019/10/24 11:54:59:050',3,442,204,1,0
848,'2019/10/24 11:54:59:084',3,451,210,1,0
849,'2019/10/24 11:54:59:118',3,458,211,1,0
850,'2019/10/24 11:54:59:151',3,479,211,1,0
851,'2019/10/24 11:54:59:185',3,490,210,1,0
852,'2019/10/24 11:54:59:219',3,494,200,1,0
853,'2019/10/24 11:54:59:252',3,499,186,1,0
854,'2019/10/24 11:54:59:285',3,499,174,1,0
855,'2019/10/24 11:54:59:319',3,495,162,1,0
856,'2019/10/24 11:54:59:352',3,489,150,1,0
857,'2019/10/24 11:54:59:386',3,481,143,1,0
858,'2019/10/24 11:54:59:419',3,469,138,1,0
859,'2019/10/24 11:54:59:453',3,465,137,1,0
860,'2019/10/24 11:54:59:486',3,465,137,1,0
861,'2019/10/24 11:54:59:519',3,465,137,1,0
862,'2019/10/24 11:54:59:553',3,465,137,1,0
863,'2019/10/24 11:54:59:587',3,465,137,1,0
